Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1N4AZ0CP0DC407247,PAS,NEW HYDE PARK  ,NY,11040,NASSAU      ,2013,NISSA,4DSD,ELECTRIC,3340,,,02/24/2018,12/16/2019,GY   ,N,N,N
VEH ,1N4AZ0CP0DC406311,PAS,PLEASANTVILLE  ,NY,10570,WESTCHESTER ,2013,NISSA,4DSD,ELECTRIC,3274,,,08/14/2018,09/28/2020,GY   ,N,N,N
VEH ,1N4AZ0CP0DC404266,PAS,LEWISTON       ,NY,14092,NIAGARA     ,2013,NISSA,4DSD,ELECTRIC,3340,,,12/09/2017,01/12/2020,GY   ,N,N,N
VEH ,1N4AZ0CP0DC401349,PAS,LONG BEACH     ,NY,11561,NASSAU      ,2013,NISSA,4DSD,ELECTRIC,3256,,,06/27/2017,08/14/2019,WH   ,N,N,N
VEH ,1N4AZ0CP0DC401111,PAS,WEST SENECA    ,NY,14224,ERIE        ,2013,NISSA,4DSD,ELECTRIC,3256,,,06/26/2018,06/25/2020,RD   ,N,N,N
VEH ,1N4AZ0CP0DC400511,PAS,MONSEY         ,NY,10952,ROCKLAND    ,2013,NISSA,4DSD,ELECTRIC,3256,,,01/08/2017,02/27/2019,WH   ,N,N,N
VEH ,1N4AZ0CPXGC311484,PAS,EAST AMHERST   ,NY,14051,ERIE        ,2016,NISSA,4DSD,ELECTRIC,3256,,,06/27/2018,07/11/2020,GY   ,N,N,N
VEH ,1N4AZ0CPXGC311226,PAS,BUFFALO        ,NY,14216,ERIE        ,2016,NISSA,4DSD,ELECTRIC,3256,,,07/09/2017,08/01/2019,BK   ,N,N,N
VEH ,1N4AZ0CPXGC306401,PAS,PITTSFORD      ,NY,14534,MONROE      ,2016,NISSA,4DSD,ELECTRIC,3256,,,03/31/2017,03/30/2019,WH   ,N,N,N
VEH ,1N4AZ0CPXFC330227,PAS,STONY BROOK    ,NY,11790,SUFFOLK     ,2015,NISSA,4DSD,ELECTRIC,3291,,,07/17/2018,07/16/2020,RD   ,N,N,N
VEH ,1N4AZ0CPXFC325125,PAS,SALISBURY MILL ,NY,12577,ORANGE      ,2015,NISSA,4DSD,ELECTRIC,3243,,,10/30/2017,10/29/2019,BK   ,N,N,N
VEH ,1N4AZ0CPXFC324525,PAS,OXFORD         ,NY,13830,CHENANGO    ,2015,NISSA,4DSD,ELECTRIC,3243,,,07/11/2018,09/27/2020,RD   ,N,N,N
